,Time,ID,RSSI,PI
0,1702036861.880523,dd:03:16:54:f4:d0,-82,133
1,1702036891.0016358,dd:03:16:54:f4:d0,-82,133
2,1702036916.1279976,dd:03:16:54:f4:d0,-82,163
3,1702036917.1344633,dd:03:16:54:f4:d0,-76,163
4,1702036920.1508622,dd:03:16:54:f4:d0,-78,163
5,1702036921.1559558,dd:03:16:54:f4:d0,-79,163
6,1702036923.1893284,dd:03:16:54:f4:d0,-75,163
7,1702036926.163481,dd:03:16:54:f4:d0,-75,163
8,1702036927.1767268,dd:03:16:54:f4:d0,-80,163
9,1702036928.170509,dd:03:16:54:f4:d0,-77,163
10,1702036929.1752155,dd:03:16:54:f4:d0,-80,133
11,1702036929.2448168,dd:03:16:54:f4:d0,-80,163
12,1702036935.2081714,dd:03:16:54:f4:d0,-79,163
13,1702036936.2658885,dd:03:16:54:f4:d0,-79,163
14,1702036937.213358,dd:03:16:54:f4:d0,-82,163
15,1702036946.2683144,dd:03:16:54:f4:d0,-78,163
16,1702036947.3383887,dd:03:16:54:f4:d0,-81,163
17,1702036948.2761903,dd:03:16:54:f4:d0,-83,163
18,1702036949.2860198,dd:03:16:54:f4:d0,-75,163
19,1702036953.3060052,dd:03:16:54:f4:d0,-83,163
20,1702036954.3116386,dd:03:16:54:f4:d0,-83,163
21,1702036955.313301,dd:03:16:54:f4:d0,-78,163
22,1702036956.3143525,dd:03:16:54:f4:d0,-80,163
23,1702036960.3305523,dd:03:16:54:f4:d0,-76,163
24,1702036961.337916,dd:03:16:54:f4:d0,-82,163
25,1702036962.3440616,dd:03:16:54:f4:d0,-80,163
26,1702036963.33708,dd:03:16:54:f4:d0,-80,163
27,1702036966.356325,dd:03:16:54:f4:d0,-76,163
28,1702036968.4756918,dd:03:16:54:f4:d0,-76,163
29,1702036969.4282043,dd:03:16:54:f4:d0,-82,163
30,1702036970.411346,dd:03:16:54:f4:d0,-80,163
31,1702036971.4091685,dd:03:16:54:f4:d0,-80,163
32,1702036975.4012845,dd:03:16:54:f4:d0,-81,163
33,1702036977.525103,dd:03:16:54:f4:d0,-80,163
34,1702036978.4097433,dd:03:16:54:f4:d0,-79,163
35,1702036981.4507103,dd:03:16:54:f4:d0,-75,163
36,1702036982.4809391,dd:03:16:54:f4:d0,-74,163
37,1702036984.457589,dd:03:16:54:f4:d0,-81,163
38,1702036991.4825716,dd:03:16:54:f4:d0,-81,163
39,1702036992.4859543,dd:03:16:54:f4:d0,-79,163
40,1702036993.492757,dd:03:16:54:f4:d0,-74,163
41,1702036994.5383258,dd:03:16:54:f4:d0,-76,163
42,1702036998.4981077,dd:03:16:54:f4:d0,-75,163
43,1702037001.5127676,dd:03:16:54:f4:d0,-78,163
44,1702037004.5311527,dd:03:16:54:f4:d0,-74,163
45,1702037005.535828,dd:03:16:54:f4:d0,-74,163
46,1702037011.567257,dd:03:16:54:f4:d0,-76,163
47,1702037015.6070888,dd:03:16:54:f4:d0,-78,163
48,1702037042.7335644,dd:03:16:54:f4:d0,-82,133
49,1702037058.962299,dd:03:16:54:f4:d0,-80,133
50,1702037075.939083,dd:03:16:54:f4:d0,-79,133
51,1702037101.0463965,dd:03:16:54:f4:d0,-83,133
52,1702037116.1271672,dd:03:16:54:f4:d0,-77,163
53,1702037118.133433,dd:03:16:54:f4:d0,-78,163
54,1702037119.1682675,dd:03:16:54:f4:d0,-74,163
55,1702037121.2420683,dd:03:16:54:f4:d0,-80,163
56,1702037125.2012088,dd:03:16:54:f4:d0,-74,163
57,1702037126.236693,dd:03:16:54:f4:d0,-78,163
58,1702037127.2081106,dd:03:16:54:f4:d0,-82,163
59,1702037130.2238617,dd:03:16:54:f4:d0,-77,163
